"grid","year","severity","chs","low","mid","high","presumptive"
"standard",2002,"1","0",12,12,12,"stay"
"standard",2003,"1","0",12,12,12,"stay"
"standard",2004,"1","0",12,12,12,"stay"
"standard",2005,"1","0",12,12,12,"stay"
"standard",2006,"1","0",12,12,12,"stay"
"standard",2007,"1","0",12,12,12,"stay"
"standard",2008,"1","0",12,12,12,"stay"
"standard",2009,"1","0",12,12,12,"stay"
"standard",2010,"1","0",12,12,12,"stay"
"standard",2011,"1","0",12,12,12,"stay"
"standard",2012,"1","0",12,12,12,"stay"
"standard",2013,"1","0",12,12,12,"stay"
"standard",2014,"1","0",12,12,12,"stay"
"standard",2015,"1","0",12,12,12,"stay"
"standard",2016,"1","0",12,12,12,"stay"
"standard",2017,"1","0",12,12,12,"stay"
"standard",2018,"1","0",12,12,12,"stay"
"standard",2019,"1","0",12,12,12,"stay"
"standard",2020,"1","0",12,12,12,"stay"
"standard",2002,"1","1",12,12,12,"stay"
"standard",2003,"1","1",12,12,12,"stay"
"standard",2004,"1","1",12,12,12,"stay"
"standard",2005,"1","1",12,12,12,"stay"
"standard",2006,"1","1",12,12,12,"stay"
"standard",2007,"1","1",12,12,12,"stay"
"standard",2008,"1","1",12,12,12,"stay"
"standard",2009,"1","1",12,12,12,"stay"
"standard",2010,"1","1",12,12,12,"stay"
"standard",2011,"1","1",12,12,12,"stay"
"standard",2012,"1","1",12,12,12,"stay"
"standard",2013,"1","1",12,12,12,"stay"
"standard",2014,"1","1",12,12,12,"stay"
"standard",2015,"1","1",12,12,12,"stay"
"standard",2016,"1","1",12,12,12,"stay"
"standard",2017,"1","1",12,12,12,"stay"
"standard",2018,"1","1",12,12,12,"stay"
"standard",2019,"1","1",12,12,12,"stay"
"standard",2020,"1","1",12,12,12,"stay"
"standard",2002,"1","2",12,12,12,"stay"
"standard",2003,"1","2",12,12,12,"stay"
"standard",2004,"1","2",12,12,12,"stay"
"standard",2005,"1","2",12,12,12,"stay"
"standard",2006,"1","2",12,12,12,"stay"
"standard",2007,"1","2",12,12,12,"stay"
"standard",2008,"1","2",12,12,12,"stay"
"standard",2009,"1","2",12,12,12,"stay"
"standard",2010,"1","2",12,12,12,"stay"
"standard",2011,"1","2",12,12,12,"stay"
"standard",2012,"1","2",12,12,12,"stay"
"standard",2013,"1","2",12,12,12,"stay"
"standard",2014,"1","2",12,12,12,"stay"
"standard",2015,"1","2",12,12,12,"stay"
"standard",2016,"1","2",12,12,12,"stay"
"standard",2017,"1","2",12,12,12,"stay"
"standard",2018,"1","2",12,12,12,"stay"
"standard",2019,"1","2",12,12,12,"stay"
"standard",2020,"1","2",12,12,12,"stay"
"standard",2002,"1","3",13,13,13,"stay"
"standard",2003,"1","3",13,13,13,"stay"
"standard",2004,"1","3",13,13,13,"stay"
"standard",2005,"1","3",13,13,13,"stay"
"standard",2006,"1","3",13,13,13,"stay"
"standard",2007,"1","3",13,13,13,"stay"
"standard",2008,"1","3",13,13,13,"stay"
"standard",2009,"1","3",13,13,13,"stay"
"standard",2010,"1","3",13,13,13,"stay"
"standard",2011,"1","3",13,13,13,"stay"
"standard",2012,"1","3",13,13,13,"stay"
"standard",2013,"1","3",13,13,13,"stay"
"standard",2014,"1","3",13,13,13,"stay"
"standard",2015,"1","3",13,13,13,"stay"
"standard",2016,"1","3",13,13,13,"stay"
"standard",2017,"1","3",13,13,13,"stay"
"standard",2018,"1","3",13,13,13,"stay"
"standard",2019,"1","3",13,13,13,"stay"
"standard",2020,"1","3",13,13,13,"stay"
"standard",2002,"1","4",15,15,15,"stay"
"standard",2003,"1","4",15,15,15,"stay"
"standard",2004,"1","4",15,15,15,"stay"
"standard",2005,"1","4",15,15,15,"stay"
"standard",2006,"1","4",15,15,15,"stay"
"standard",2007,"1","4",15,15,15,"stay"
"standard",2008,"1","4",15,15,15,"stay"
"standard",2009,"1","4",15,15,15,"stay"
"standard",2010,"1","4",15,15,15,"stay"
"standard",2011,"1","4",15,15,15,"stay"
"standard",2012,"1","4",15,15,15,"stay"
"standard",2013,"1","4",15,15,15,"stay"
"standard",2014,"1","4",15,15,15,"stay"
"standard",2015,"1","4",15,15,15,"stay"
"standard",2016,"1","4",15,15,15,"stay"
"standard",2017,"1","4",15,15,15,"stay"
"standard",2018,"1","4",15,15,15,"stay"
"standard",2019,"1","4",15,15,15,"stay"
"standard",2020,"1","4",15,15,15,"stay"
"standard",2002,"1","5",17,17,17,"stay"
"standard",2003,"1","5",17,17,17,"stay"
"standard",2004,"1","5",17,17,17,"stay"
"standard",2005,"1","5",17,17,17,"stay"
"standard",2006,"1","5",17,17,17,"stay"
"standard",2007,"1","5",17,17,17,"stay"
"standard",2008,"1","5",17,17,17,"stay"
"standard",2009,"1","5",17,17,17,"stay"
"standard",2010,"1","5",17,17,17,"stay"
"standard",2011,"1","5",17,17,17,"stay"
"standard",2012,"1","5",17,17,17,"stay"
"standard",2013,"1","5",17,17,17,"stay"
"standard",2014,"1","5",17,17,17,"stay"
"standard",2015,"1","5",17,17,17,"stay"
"standard",2016,"1","5",17,17,17,"stay"
"standard",2017,"1","5",17,17,17,"stay"
"standard",2018,"1","5",17,17,17,"stay"
"standard",2019,"1","5",17,17,17,"stay"
"standard",2020,"1","5",17,17,17,"stay"
"standard",2002,"1","6",18,19,20,"commit"
"standard",2003,"1","6",18,19,20,"commit"
"standard",2004,"1","6",18,19,20,"commit"
"standard",2005,"1","6",17,19,22,"commit"
"standard",2006,"1","6",17,19,22,"commit"
"standard",2007,"1","6",17,19,22,"commit"
"standard",2008,"1","6",17,19,22,"commit"
"standard",2009,"1","6",17,19,22,"commit"
"standard",2010,"1","6",17,19,22,"commit"
"standard",2011,"1","6",17,19,22,"commit"
"standard",2012,"1","6",17,19,22,"commit"
"standard",2013,"1","6",17,19,22,"commit"
"standard",2014,"1","6",17,19,22,"commit"
"standard",2015,"1","6",17,19,22,"commit"
"standard",2016,"1","6",17,19,22,"commit"
"standard",2017,"1","6",17,19,22,"commit"
"standard",2018,"1","6",17,19,22,"commit"
"standard",2019,"1","6",17,19,22,"commit"
"standard",2020,"1","6",17,19,22,"commit"
"standard",2002,"10","0",144,150,156,"commit"
"standard",2003,"10","0",144,150,156,"commit"
"standard",2004,"10","0",144,150,156,"commit"
"standard",2005,"10","0",128,150,180,"commit"
"standard",2006,"10","0",128,150,180,"commit"
"standard",2007,"10","0",128,150,180,"commit"
"standard",2008,"10","0",128,150,180,"commit"
"standard",2009,"10","0",128,150,180,"commit"
"standard",2010,"10","0",128,150,180,"commit"
"standard",2011,"10","0",128,150,180,"commit"
"standard",2012,"10","0",128,150,180,"commit"
"standard",2013,"10","0",128,150,180,"commit"
"standard",2014,"10","0",128,150,180,"commit"
